name,type,pos,time,sam,group,dw,amount,markers,Bs,Ea,Eg,Et,Ed,Ez,Es,Pa,Sr,Sq,Sn,Ta,Ps,Pk,Pd,Pz,Nl,Ip,Is,Oc,Oe,Oi,Os,Sp,Sm,Se,Sp,Bs,Gy
GB08,ST,Up,1,6,B,0.558,0.05,339,41,12,2,0,2,1,36,0,7,1,2,6,0,0,2,18,5,0,0,2,0,0,0,9,1,0,14,16,144
GB08,ST,Up,1,5,A,0.604,0.05,266,52,22,2,0,2,2,37,0,5,6,1,9,0,0,2,39,2,0,0,2,0,0,0,5,0,0,11,19,134
GB08,ST,Low,1,6,B,0.5,0.05,330,46,22,7,1,2,2,22,0,2,4,5,3,0,0,0,17,0,0,0,3,0,0,0,5,1,0,12,21,111
GB08,ST,Up,1,1,A,1.104,0.05,326,89,17,6,4,3,7,35,0,10,7,7,8,1,0,3,23,4,0,0,3,0,3,0,12,0,0,17,29,202
GB08,ST,Low,1,1,A,1.033,0.05,340,96,28,8,3,1,9,47,0,15,3,4,9,2,0,2,22,6,0,0,2,0,0,0,8,0,0,15,37,224
CB08,ST,Up,3,3,A,1.163,0.05,398,88,32,8,1,1,3,37,0,10,8,4,10,2,0,6,17,3,0,0,2,0,0,0,17,0,0,21,37,240
GB08,ST,Up,1,2,B,1.44,0.05,385,88,25,8,3,3,12,53,0,12,7,3,7,0,0,4,22,8,0,0,4,0,1,0,24,0,0,18,42,287
GB08,ST,Low,1,2,B,1.235,0.05,224,103,28,9,3,2,7,49,1,6,9,5,9,1,0,11,30,5,0,0,6,0,0,0,11,0,0,26,42,254
CB08,ST,Low,1,1,A,0.551,0.05,281,61,9,3,3,2,4,17,0,4,2,2,3,0,0,2,7,3,0,0,4,0,0,0,7,0,0,7,14,96
CB08,ST,Up,3,4,B,1.134,0.05,439,90,25,10,7,2,4,45,0,9,3,4,10,0,0,2,15,3,0,0,5,0,1,0,17,0,0,24,30,195
CB08,ST,Up,3,6,B,1.321,0.05,397,129,34,10,7,1,7,46,1,14,6,5,12,0,1,5,21,7,0,0,7,0,0,0,12,0,0,28,40,324
CBOR,ST,Low,1,25,A,1.115,0.05,221,75,22,10,5,2,3,40,2,8,7,5,9,1,0,5,25,3,0,0,7,2,0,0,11,1,0,25,32,159
CB08,ST,Low,1,5,A,1.115,0.05,317,74,25,7,5,3,3,36,1,9,6,3,7,1,0,4,22,3,0,0,4,1,0,0,14,1,0,27,24,171
CBOR,ST,Low,1,24,B,1.003,0.05,367,83,26,16,3,0,5,29,0,11,1,5,11,2,0,2,19,2,0,0,5,0,0,0,11,1,0,14,26,155
CB08,ST,Low,1,4,B,1.003,0.05,409,63,23,14,3,1,6,23,0,9,2,3,7,1,0,4,17,2,0,0,3,0,0,0,9,1,0,12,25,142
GB08,ST,Up,0,3,A,1.216,0.05,450,100,42,4,9,1,8,70,0,10,12,2,7,2,0,3,33,7,0,0,0,0,1,0,17,0,0,17,37,286
GB08,ST,Up,0,4,B,1.216,0.05,408,100,42,4,9,1,8,70,0,10,12,2,7,2,0,3,33,7,0,0,0,0,1,0,17,0,0,17,37,286
GB08,ST,Low,0,3,A,1.216,0.05,340,100,42,4,9,1,8,70,0,10,12,2,7,2,0,3,33,7,0,0,0,0,1,0,17,0,0,17,37,286
GB08,ST,Low,0,4,B,1.216,0.05,376,100,42,4,9,1,8,70,0,10,12,2,7,2,0,3,33,7,0,0,0,0,1,0,17,0,0,17,37,286
GB08,ST,Low,0,1,A,1.28,0.05,200,122,45,16,9,9,19,59,4,6,18,6,8,1,0,11,32,7,0,0,3,1,0,0,27,2,0,29,47,316
GB08,ST,Low,0,2,B,1.28,0.05,298,122,45,16,9,9,19,59,4,6,18,6,8,1,0,11,32,7,0,0,3,1,0,0,27,2,0,29,47,316
GB08,ST,Up,0,1,A,1.28,0.05,400,122,45,16,9,9,19,59,4,6,18,6,8,1,0,11,32,7,0,0,3,1,0,0,27,2,0,29,47,316
GB08,ST,Up,0,2,B,1.28,0.05,406,122,45,16,9,9,19,59,4,6,18,6,8,1,0,11,32,7,0,0,3,1,0,0,27,2,0,29,47,316
